platform|account|product_type|brand_name|marketing_strategy|message_type|message_content|sentiment|characteristics_composition|characteristics_language|characteristics_date|characteristics_tone|characteristics_slogan|characteristics_hashtags|characteristics_warnings|characteristics_location|characteristics_colors|characteristics_people_number|characteristics_people_age|characteristics_people_gender|characteristics_product_placement|characteristics_indications_advertisement_CH|characteristics_other|engagement_metrics_likes|engagement_metrics_comments|engagement_metrics_shares|engagement_metrics_views|engagement_metrics_followers|image_file
unknown|unknown|e-cigarettes|Logic|direct advertising|lifestyle promotion|CLICK IT. VAPE IT. LOVE IT.|positive|static|english|unknown|enticing|CLICK IT. VAPE IT. LOVE IT.|unknown|Ce produit contient de la nicotine et crée une dépendance.|unknown|white, black, yellow, pink|0|unknown|unknown|main element|yes|The image is a street advertisement for an e-cigarette product.|unknown|unknown|unknown|unknown|unknown|18.jpg
unknown|unknown|e-cigarettes|Hyper Pro|direct advertising|product plus-value|Meilleure satisfaction dès la première bouffée|positive|static|french|unknown|serious|Meilleure satisfaction dès la première bouffée|unknown|unknown|unknown|blue, black, white|0|unknown|unknown|foreground|unknown|The image features a close-up of the e-cigarette product highlighting its features and design.|unknown|unknown|unknown|unknown|unknown|38.png
unknown|Marlboro|cigarettes|Marlboro|lifestyle promotion, direct advertising|lifestyle promotion|A MAYBE HAS NO FUN, Don't be a Maybe, BE|positive|static|english, german, french, italian|unknown|inspirational|A MAYBE HAS NO FUN, Don't be a Maybe, BE|unknown|Rauchen fügt Ihnen und den Menschen in Ihrer Umgebung erheblichen Schaden zu. Fumer nuit gravement à votre santé et à celle de votre entourage. Il fumo danneggia gravemente te e chi ti sta intorno.|unknown|beige, red, grey|3|20-30|mixed|background|unknown|The image depicts young adults engaging in playful activities, which suggests an association between the brand and a youthful, adventurous lifestyle.|unknown|unknown|unknown|unknown|unknown|40.png
unknown|unknown|cigarettes|Lucky Strike|lifestyle promotion|lifestyle promotion|FORGET REALITY, Always true|positive|static|English, German, French, Italian|unknown|inspirational|FORGET REALITY, Always true|unknown|Rauchen fügt Ihnen und den Menschen in Ihrer Umgebung erheblichen Schaden zu. Fumer nuit gravement à votre santé et à celle de votre entourage. Il fumo danneggia gravemente te e chi ti sta intorno.|unknown|brown, yellow, blue|2|20-30|male|background|warnings in German, French, Italian|The image features a scenic backdrop with two young men, one smoking.|unknown|unknown|unknown|unknown|unknown|39.jpg
unknown|unknown|heated tobacco products|IQOS|direct advertising, price promotion|product plus-value, informations|Exclusive offer including new tobacco classic, IQOS ILUMA ONE + 4 packs for free*|positive|static|english, german, french, italian|unknown|promotional|Exclusive offer|unknown|Dieses Tabakerzeugnis kann Ihre Gesundheit schädigen und macht abhängig. Ce produit du tabac peut nuire à votre santé et crée une dépendance. Questo prodotto del tabacco può nuocere alla tua salute e provoca dipendenza.|unknown|white, grey, blue, green|0|unknown|unknown|foreground|price in CHF|Packaging and device displayed prominently|unknown|unknown|unknown|unknown|unknown|36.PNG
Instagram|unknown|unknown|unknown|unknown|unknown|unknown|positive|static|German|unknown|casual|unknown|unknown|unknown|inside a car|black, blue, silver|1|20-30|female|unknown|unknown|unknown|684|unknown|unknown|unknown|unknown|26.png
unknown|unknown|cigarettes|unknown|unknown|unknown|unknown|neutral|static|unknown|unknown|casual|unknown|unknown|unknown|indoor, possibly a home|brown, grey, white|1|20-30|male|foreground|unknown|The image features a man interacting with a dog in a living room setting, with a table displaying various items including a pack of cigarettes.|unknown|unknown|unknown|unknown|unknown|11.jpg
Instagram|moiramusio|nicotine pouches|Velo|influencer marketing, event marketing|lifestyle promotion|Incredible Tomorrowland experience with amazing people|positive|static|english, french, german, italian|July 26, 2022|friendly, celebratory|unknown|unknown|Dieses Produkt enthält Nikotin und macht abhängig. Ce produit contient de la nicotine et crée une dépendance. Questo prodotto contiene della nicotina e crea dipendenza.|Tomorrowland|blue, white, green, various|5|20-35|mixed|unknown|warnings in multiple languages including German, French, and Italian|The image is taken at a music festival, likely used to associate the brand with fun and youthful experiences.|1741|unknown|unknown|unknown|unknown|27.png
unknown|unknown|hookah|unknown|product placement|lifestyle promotion|enjoyment of hookah in a social setting|positive|static|unknown|unknown|casual|unknown|unknown|unknown|indoor, likely a bar or lounge|warm tones, amber, gold|0|unknown|unknown|foreground|unknown|smoke visible, indicating use|unknown|unknown|unknown|unknown|unknown|21.jpg
unknown|unknown|e-cigarettes|HEETS|product placement|informations|brand logo visible on e-cigarette|neutral|static|unknown|unknown|casual|unknown|unknown|unknown|unknown|blue, brown, black, teal|0|unknown|unknown|foreground|unknown|The image includes a camera, sunglasses, a cup of coffee, and a photograph, suggesting a casual or artistic setting.|unknown|unknown|unknown|unknown|unknown|16.jpg
Instagram|jade.one.love|unknown|unknown|influencer marketing|lifestyle promotion|Non esiste vento favorevole... per il marinaio che non sa dove andare.|neutral|static|italian|September 5, 2022|artistic|Non esiste vento favorevole... per il marinaio che non sa dove andare.|unknown|none|unknown|grey, white, brown|1|20-30|female|unknown|unknown|The image features a woman holding a pineapple with smoke around it, which could symbolically represent flavor or aroma.|137|unknown|unknown|unknown|unknown|28.png
unknown|unknown|unknown|unknown|unknown|unknown|unknown|neutral|static|unknown|unknown|serious|unknown|unknown|unknown|under a bridge with graffiti|dark tones, grey, black|2|unknown|male|unknown|unknown|The image features two individuals standing near cars under a graffiti-covered bridge, suggesting a casual or urban setting.|unknown|unknown|unknown|unknown|unknown|6.jpg
unknown|IQOS|heat-not-burn tobacco product|IQOS|direct advertising, product placement|lifestyle promotion|Hast du ein neues Parfum? Willkommen zu «Wiedersehen ohne Zigaretten-Rauchgeruch».|positive|static|German, French, Italian|unknown|serious|Hast du ein neues Parfum? Willkommen zu «Wiedersehen ohne Zigaretten-Rauchgeruch».|unknown|Dieses Tabakerzeugnis kann Ihre Gesundheit schädigen und macht abhängig. Ce produit du tabac peut nuire à votre santé et crée une dépendance. Questo prodotto di tabacco può nuocere alla salute e provoca dipendenza.|Zurich|black, white, grey|2|40-50|male and female|foreground|Text in German, French, Italian; reference to Zurich|The image is part of a campaign targeting adult smokers.|unknown|unknown|unknown|unknown|unknown|38.jpg
TikTok|Glo Azerbaijan|heated tobacco|Glo|direct advertising, influencer marketing|product plus-value|Limited edition #glo #foryoupage #tiktokazerbaijan|positive|static|english|unknown|promotional|unknown|#glo #foryoupage #tiktokazerbaijan|unknown|inside a car|blue, red, white|1|unknown|unknown|foreground|unknown|Packaging of the product is prominently displayed|26.4K|164|717|unknown|unknown|33.png
Instagram|vaustinl|e-cigarettes|Geekvape|influencer marketing, giveaways|product plus-value|I'm giving away 10 Geekvape Aegis X Kits! Rules to participate: 1. Must be following my page @vaustinl 2. Like this post 3. Tag 2 friends in the comment section below 4. Must be of legal age to vape in your country or state On Wednesday (10/23/19) I'll announce 10 different winners here on my Instagram story at 3:00PM EST! Good luck #sponsored|positive|static|english|October 18, 2019|promotional|unknown|#sponsored|Must be of legal age to vape in your country or state|unknown|black, grey, blue|1|20-30|male|foreground|unknown|The individual is exhaling vapor, which visually emphasizes the use of the product.|252,068|unknown|unknown|unknown|unknown|25.png
TikTok|unknown|e-cigarette|unknown|influencer marketing, lifestyle promotion|lifestyle promotion|POV: on roule en Fiat 500 fourrure au guidon et avec du Aya Nakamura À Balle|positive|static|french|2023-08-19|casual|unknown|#fyp #pourtoi #copines #fiat500|none|inside a car|beige, white, pink, green|2|20-30|female|foreground|unknown|The image features two young women in a car, one holding an e-cigarette.|41.9K|323|105|unknown|unknown|30.png
unknown|unknown|cigarettes|Marlboro|product placement|informations|brand visibility|neutral|static|French|unknown|casual|unknown|unknown|unknown|indoor, possibly a bar or pub|brown, green, white|0|unknown|unknown|background|CHF pricing on ticket, suggesting Swiss location|Presence of alcohol brand logos and a ticket for an event|unknown|unknown|unknown|unknown|unknown|17.JPG
TikTok|unknown|unknown|unknown|unknown|lifestyle promotion|Pov t'arrives plus à écouter cette musique car tu t'es lassé de la personne à qui tu pensais en l'écoutant|neutral|static|french|unknown|emotional|unknown|unknown|unknown|indoor, likely a bedroom|blue, black, white|1|unknown|female|unknown|unknown|The image features a Spotify interface suggesting music listening.|17.8K|146|712|unknown|unknown|24.png
unknown|unknown|cigarettes|Chesterfield|direct advertising, promotional contest|product plus-value|Create and Win, promotional price of CHF 7.20|neutral|static|english|unknown|promotional|Create and Win|unknown|unknown|point of sale|brown, black, white, red|0|unknown|unknown|foreground|price in CHF, Swiss products nearby|presence of other snack products and price tags|unknown|unknown|unknown|unknown|unknown|13.jpg
Instagram|unknown|cigars|unknown|lifestyle promotion|lifestyle promotion|#vacation #chill #enjoy #time #moment #life #style #tattoo #wine #cigars #cazal #breitling #iqos_friends #myGALAlife|positive|static|english|unknown|relaxed, enjoyable|unknown|#vacation #chill #enjoy #time #moment #life #style #tattoo #wine #cigars #cazal #breitling #iqos_friends #myGALAlife|none|Malaga, Spain|beige, white, brown, green|1|30-40|male|foreground|none|The individual is depicted enjoying a cigar and wine, suggesting a relaxed lifestyle.|46|unknown|unknown|unknown|unknown|35.png
Instagram|joshtyrell|nicotine pouches|Velo|influencer marketing, event marketing|lifestyle promotion|A moment, a love, a dream, aloud, won’t stop 'til it’s over. Magic and unforgettable moments with the best team ever.|positive|static|english|April 10|inspirational|unknown|#velo.switzerland #capricesfestival|Dieses Produkt enthält Nikotin und macht abhängig. Ce produit contient de la nicotine et crée une dépendance. Questo prodotto contiene della nicotina e crea dipendenza.|unknown|various|multiple|unknown|mixed|hidden|warnings in multiple languages including German, French, and Italian, suggesting targeting towards a Swiss audience|presence of a large group celebrating|1506|unknown|unknown|unknown|unknown|23.PNG
unknown|unknown|heated tobacco products|glo|direct advertising, product placement|informations, product plus-value|special offer, product features, price information|positive|static|French, German, Italian|unknown|promotional|OFFRE SPÉCIALE, NOUVEAU TABAC DE QUALITÉ PREMIUM|unknown|Dieses Tabakerzeugnis kann Ihre Gesundheit schädigen und macht süchtig. Ce produit du tabac peut nuire à votre santé et crée une dépendance. Questo prodotto del tabacco può nuocere alla tua salute e provoca dipendenza.|unknown|blue, purple, yellow, orange|0|unknown|unknown|foreground, main element|Price in CHF, Swiss website reference|Multiple product options displayed|unknown|unknown|unknown|unknown|unknown|37.PNG
Nau.ch|unknown|e-cigarettes|IQOS|direct advertising, product placement|informations|product packaging, instructions|neutral|static|german|2023-04-26|informative|TOGETHER. FORWARD.|unknown|unknown|unknown|grey, white, green|1|unknown|unknown|foreground|unknown|unknown|unknown|0|unknown|unknown|unknown|41.png
TikTok|yourtipartist|cigarette filters|Mercedes|influencer marketing, viral marketing|informations|"Episode 3 | How to make a huge filter #huge #filter"|neutral|static|english|unknown|informative|Take 5 Mercedes Filter|#huge #filter|none|unknown|blue, white|1|unknown|unknown|foreground|unknown|none|51.6K|157|unknown|4015|unknown|32.png
unknown|IQOS|heat-not-burn tobacco product|IQOS|product placement, events|lifestyle promotion|#IQOSphere|positive|static|english|unknown|professional|unknown|#IQOSphere|unknown|unknown|blue, red, white|0|unknown|unknown|foreground|unknown|The image features a Ferrari Formula 1 car displayed at an event, possibly a trade show or exhibition, promoting IQOS.|unknown|unknown|unknown|unknown|unknown|5.jpg
unknown|unknown|cigarettes|Winston|event marketing, product placement|lifestyle promotion|Freedom Snowfest event promotion|positive|static|english|unknown|festive|Freedom Snowfest|unknown|Rauchen kann tödlich sein|snow festival|white, blue, red|7|unknown|mixed|background|German warning label|presence of snow and winter sports attire|unknown|unknown|unknown|unknown|unknown|8.jpg
TikTok|unknown|vape|Glugbar|influencer marketing, viral marketing|lifestyle promotion|Glugbar mango pineapple|positive|static|english|2023-11-03|casual|Glugbar mango pineapple|#ASMRrasmsounds #vape #fyp|none|unknown|green, purple, pink|1|unknown|unknown|foreground|unknown|none|1.7M|10.8K|unknown|85.9K|unknown|31.jpg
unknown|unknown|e-cigarette|Aspire|product placement|informations|brand visibility|neutral|static|unknown|unknown|casual|unknown|unknown|unknown|unknown|black, white, brown|0|unknown|unknown|foreground|unknown|The image features an e-cigarette next to a coffee cup with a spoon, on a wooden table.|unknown|unknown|unknown|unknown|unknown|15.jpg
unknown|unknown|cigarettes|L&M|product placement, events|lifestyle promotion|social gathering, leisure activity|positive|static|unknown|unknown|casual|unknown|unknown|unknown|indoor, possibly a bar or event space|blue, white|2|unknown|unknown|background|unknown|The image features a foosball table with a prominent L&M logo in the background, suggesting a casual, social setting.|unknown|unknown|unknown|unknown|unknown|4.jpg
Instagram|jade.one.love|e-cigarettes|unknown|influencer marketing, product placement|lifestyle promotion|Moody Time - Tea Time|neutral|static|english|unknown|casual|unknown|#MoodyTime #TeaTime|unknown|indoor, possibly a cafe or home|brown, white, beige|1|20-30|female|foreground|mentions of Swiss websites and locations (e.g., veggiemoons, richy.ch, vapefactory.lausanne, curieuxeliquides, aspirecigs)|The image shows a woman using an e-cigarette in a relaxed indoor setting.|unknown|unknown|unknown|unknown|unknown|29.png
unknown|unknown|unknown|unknown|unknown|unknown|unknown|neutral|static|unknown|unknown|casual|unknown|unknown|unknown|urban street|red, blue, white, yellow|1|unknown|male|unknown|unknown|The image features a male individual exhaling smoke, sitting at a bus stop at night with dynamic city life and moving vehicles around.|unknown|unknown|unknown|unknown|unknown|2.jpg
unknown|IQOS|heat-not-burn tobacco product|IQOS|lifestyle promotion, health allegations|lifestyle promotion, health allegations|Nach einem Päuschen will ich nicht nach Zigarettenrauch riechen. Willkommen zu «Pausen ohne schlechten Nachgeschmack».|positive|static|German, French, Italian|unknown|friendly|Nach einem Päuschen will ich nicht nach Zigarettenrauch riechen.|unknown|Dieses Tabakerzeugnis kann Ihre Gesundheit schädigen und macht abhängig. Ce produit du tabac peut nuire à votre santé et crée une dépendance. Questo prodotto di tabacco può nuocere alla salute e provoca dipendenza.|Bern|green, blue, white, grey|2|30-50|female|foreground|location (Bern), website (TryIQOS.ch), warnings in multiple Swiss languages|Names of individuals (Sonia und Pina) mentioned as part of the advertisement|unknown|unknown|unknown|unknown|unknown|37.jpg
unknown|Marlboro|cigarettes|Marlboro|events, brand extension|lifestyle promotion|Rauchen ist tödlich. Funken ist tödlich.|neutral|static|german|unknown|serious|Rauchen ist tödlich. Funken ist tödlich.|unknown|Rauchen ist tödlich. Funken ist tödlich.|outdoor event|red, white, black|multiple|varied|varied|main element|unknown|The image features a large Marlboro branding and promotional setup at an outdoor event with multiple people.|unknown|unknown|unknown|unknown|unknown|7.jpg
Instagram|junegomezga|cigarettes|Winston|influencer marketing, lifestyle promotion|lifestyle promotion|#StayTrueStayFree #WinstonRD|positive|static|spanish|2017-04-14|casual|FUMAR ES PERJUDICIAL PARA LA SALUD|#StayTrueStayFree #WinstonRD|FUMAR ES PERJUDICIAL PARA LA SALUD|unknown|blue, white, black|1|20-30|male|foreground|unknown|The individual is using a vaping device.|4789|unknown|unknown|unknown|unknown|34.jpg
Website|La Liberté|heat-not-burn tobacco product|IQOS|direct advertising, product placement|health allegations, product plus-value|IQOS chauffe le tabac au lieu de le brûler. Par conséquent, IQOS émet 95% de substances chimiques nocives de moins que les cigarettes.|positive|static|French, German, Italian|unknown|informative|IQOS chauffe le tabac au lieu de le brûler.|unknown|Dieses Tabakerzeugnis kann Ihre Gesundheit schädigen und macht abhängig. Ce produit du tabac peut nuire à votre santé et crée une dépendance. Questo prodotto del tabacco può nuocere alla tua salute e provoca dipendenza.|unknown|blue, red, white, gray|0|unknown|unknown|main element|Swiss website, price in CHF, Swiss languages|Comparison of traditional cigarette and IQOS device|unknown|unknown|unknown|unknown|unknown|42.png
unknown|unknown|CBD hemp supplement|Pachamama|product placement|health allegations|full spectrum hemp extract, 750mg CBD|neutral|static|english|unknown|serious|The Natural|unknown|unknown|unknown|black, green, gray|0|unknown|unknown|foreground|unknown|The product is presented in a minimalist, elegant packaging on a slate background with a blurred plant in the foreground.|unknown|unknown|unknown|unknown|unknown|10.jpg
